smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,compound_name
NC(=O)c1cnc2ncccc2c1,-1.494,0.062,0.211,0.001,0.055,0.007,0.003,0.027,-4.641,1.548269392515067e-05,0.825,42.731204986572266%,1.91,66.3199691772461%,0.725,0.571,0.05,0.063,0.02,0.2,0.016,0.259,0.013,0.105,5.697,0.26,0.059,0.194,0.978,0.03,0.333,0.16,0.428,0.687,0.004,0.458,0.122,0.213,2.06,2.568,3.036,0.006,0.002,0.547,0.011,0.115,0.005,0.037,0.097,0.039,0.013,0.082,0.055,173.06,173.069,1.0,4,2,68.87,1,2,10,4,0,12,0.083,0,1,0,0,0,0,0,0,0,0.691,2.154,0.0,10.0,-1.193,0,0,0,0,Accepted,Accepted,Accepted,Rejected,"1,8naphthyridine3carboxamide"
CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,-3.739,2.923,4.165,0.025,0.001,0.011,0.861,0.905,-4.802,2.254638638987672e-05,0.319,99.51461791992188%,0.608,1.8084641695022583%,0.054,0.781,0.017,0.8,0.315,0.787,0.029,0.205,0.041,0.13,0.494,0.488,0.003,0.142,0.022,0.035,0.212,0.521,0.902,0.067,0.004,0.889,0.563,0.945,4.381,4.573,5.604,0.44,0.011,0.204,0.349,0.596,0.255,0.964,0.64,0.036,0.843,0.879,0.863,332.2,353.422,0.94,4,3,77.76,2,3,14,4,0,17,0.118,2,1,0,1,0,5,0,2,0,0.705,3.768,0.65,80.152,2.171,1,0,1,1,Accepted,Accepted,Rejected,Accepted,carnosic_Acid
CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O,-3.91,3.316,4.318,0.231,0.003,0.005,0.013,0.255,-4.68,2.261749432364013e-05,0.54,98.52983093261719%,1.873,2.7103915214538574%,0.102,0.827,0.403,0.869,0.647,0.965,0.066,0.47,0.397,0.489,5.963,0.147,0.007,0.181,0.159,0.043,0.958,0.974,0.907,0.518,0.004,0.9,0.957,1.806,4.831,6.548,6.475,0.18,0.26,0.518,0.898,0.787,0.863,0.972,0.871,0.622,0.911,0.961,0.97,330.18,344.865,0.957,4,2,66.76,1,4,0,4,0,20,0.05,3,1,1,1,0,7,1,2,3,0.595,5.256,0.65,121.091,2.67,1,0,1,1,Accepted,Rejected,Rejected,Accepted,carnosol
